,groupID,fullPathToFunctionDir,fullPathToFunctionSrcDir,fullPathToFunctionTestDir,fullPathToFunctionPYfile,functionName
0,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/absoluteDifferences,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/absoluteDifferences/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/absoluteDifferences/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/absoluteDifferences/scr/absoluteDifferences.py,absoluteDifferences
1,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/add_values,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/add_values/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/add_values/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/add_values/scr/add_values.py,add_values
2,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/average,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/average/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/average/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/average/scr/average.py,average
3,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/cnt_non_zeros,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/cnt_non_zeros/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/cnt_non_zeros/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/cnt_non_zeros/scr/cnt_non_zeros.py,cnt_non_zeros
4,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/cnt_zeros,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/cnt_zeros/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/cnt_zeros/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/cnt_zeros/scr/cnt_zeros.py,cnt_zeros
5,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/durbinWatson,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/durbinWatson/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/durbinWatson/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/durbinWatson/scr/durbinWatson.py,durbinWatson
6,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/entropy,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/entropy/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/entropy/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/entropy/scr/entropy.py,entropy
7,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_magnitude,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_magnitude/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_magnitude/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_magnitude/scr/find_magnitude.py,find_magnitude
8,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_max,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_max/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_max/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_max/scr/find_max.py,find_max
9,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_max2,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_max2/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_max2/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_max2/scr/find_max2.py,find_max2
10,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_median,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_median/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_median/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_median/scr/find_median.py,find_median
11,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_min,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_min/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_min/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/find_min/scr/find_min.py,find_min
12,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/geometric_mean,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/geometric_mean/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/geometric_mean/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/geometric_mean/scr/geometric_mean.py,geometric_mean
13,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/harmonicMean,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/harmonicMean/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/harmonicMean/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/harmonicMean/scr/harmonicMean.py,harmonicMean
14,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/kurtosis,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/kurtosis/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/kurtosis/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/kurtosis/scr/kurtosis.py,kurtosis
15,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/max,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/max/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/max/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/max/scr/max.py,max
16,Group_01,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/min,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/min/scr,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/min/test,/Users/alduck/Documents/GitHub/SelectingConstrainingMRsScSoft/AllMethods/Group_01/min/scr/min.py,min
